start,node,c,access,out_degree,dist_from_start,auth_fail_rate,contribution_pct,lru_hits,lru_miss,lru_lookups,lru_hit_rate,is_lru_blind
0,0,179,262,11,0,0.0,4.343605920892987,102,1,103,0.9902912621359223,0
0,4,35,69,38,1,0.0,0.8493084202863382,12,1,13,0.9230769230769231,0
0,edge_0_2,34,0,0,-1,0.0,0.8250424654210143,15,1,16,0.9375,0
0,2,32,66,10,1,0.0,0.7765105556903664,15,1,16,0.9375,0
0,9,31,64,32,1,0.0,0.7522446008250425,9,1,10,0.9,0
0,10,30,58,25,1,0.0,0.7279786459597185,18,2,20,0.9,0
0,3,30,60,10,1,0.0,0.7279786459597185,5,2,7,0.7142857142857143,0
0,edge_0_1,30,0,0,-1,0.0,0.7279786459597185,18,3,21,0.8571428571428571,0
0,369684,25,50,7,1,0.0,0.6066488716330988,4,4,8,0.5,0
0,6,23,45,29,1,0.0,0.5581169619024509,5,3,8,0.625,0
0,edge_0_369684,23,0,0,-1,0.0,0.5581169619024509,4,4,8,0.5,0
0,5,20,40,32,1,0.0,0.485319097306479,7,2,9,0.7777777777777778,0
0,edge_0_10,20,0,0,-1,0.0,0.485319097306479,14,2,16,0.875,0
0,edge_0_3,19,0,0,-1,0.0,0.4610531424411551,3,2,5,0.6,0
0,48,18,34,28,2,0.0,0.4367871875758311,0,3,3,0.0,1
0,7,16,31,14,1,0.0,0.3882552778451832,7,2,9,0.7777777777777778,0
0,155588,16,31,10,8,0.0,0.3882552778451832,0,0,0,0.0,0
0,edge_0_9,16,0,0,-1,0.0,0.3882552778451832,6,1,7,0.8571428571428571,0
0,399156,14,28,9,4,0.0,0.3397233681145353,0,0,0,0.0,0
0,edge_0_7,14,0,0,-1,0.0,0.3397233681145353,7,2,9,0.7777777777777778,0
0,314525,13,26,11,4,0.0,0.31545741324921134,0,0,0,0.0,0
0,5287,13,26,11,3,0.0,0.31545741324921134,7,2,9,0.7777777777777778,0
0,edge_0_4,13,0,0,-1,0.0,0.31545741324921134,10,1,11,0.9090909090909091,0
0,155582,12,24,10,7,0.0,0.2911914583838874,0,0,0,0.0,0
0,442,11,20,14,4,0.0,0.2669255035185635,0,0,0,0.0,0
0,290535,11,22,8,6,0.0,0.2669255035185635,0,0,0,0.0,0
0,edge_2_3,11,0,0,-1,0.0,0.2669255035185635,2,2,4,0.5,0
0,319905,10,19,10,3,0.0,0.2426595486532395,0,0,0,0.0,0
0,216908,10,20,10,8,0.0,0.2426595486532395,0,0,0,0.0,0
0,392938,10,20,6,2,0.0,0.2426595486532395,0,3,3,0.0,1
0,13894,10,20,7,15,0.0,0.2426595486532395,0,0,0,0.0,0
0,2494,10,20,6,5,0.0,0.2426595486532395,0,0,0,0.0,0
0,300,10,20,7,2,0.0,0.2426595486532395,0,0,0,0.0,0
0,278452,10,20,8,5,0.0,0.2426595486532395,0,1,1,0.0,1
