start,node,c,access,out_degree,dist_from_start,auth_fail_rate,contribution_pct,lru_hits,lru_miss,lru_lookups,lru_hit_rate,is_lru_blind
0,0,227,348,16,0,0.0,1.9083648591845312,121,1,122,0.9918032786885246,0
0,75503,49,98,23,1,0.0,0.4119377889869693,38,3,41,0.926829268292683,0
0,123880,45,85,9,1,0.0,0.37831021437578816,24,2,26,0.9230769230769231,0
0,274042,44,88,10,1,0.0,0.36990332072299287,24,3,27,0.8888888888888888,0
0,120044,42,84,20,1,0.0,0.3530895334174023,14,4,18,0.7777777777777778,0
0,124002,36,70,13,1,0.0,0.3026481715006305,27,3,30,0.9,0
0,369692,36,54,7,1,0.0,0.3026481715006305,10,5,15,0.6666666666666666,0
0,33971,35,70,31,1,0.0,0.2942412778478352,4,4,8,0.5,0
0,23073,33,65,24,1,0.0,0.27742749054224464,5,4,9,0.5555555555555556,0
0,1,32,64,32,1,0.0,0.26902059688944935,16,4,20,0.8,0
0,97061,30,56,20,8,0.0,0.25220680958385877,0,0,0,0.0,0
0,411025,29,58,2,1,0.0,0.24379991593106348,5,5,10,0.5,0
0,edge_0_123880,28,0,0,-1,0.0,0.2353930222782682,11,4,15,0.7333333333333333,0
0,101215,26,56,8,1,0.0,0.2185792349726776,13,5,18,0.7222222222222222,0
0,edge_0_411025,26,0,0,-1,0.0,0.2185792349726776,12,5,17,0.7058823529411765,0
0,edge_0_120044,25,0,0,-1,0.0,0.2101723413198823,7,4,11,0.6363636363636364,0
0,edge_0_369692,23,0,0,-1,0.0,0.19335855401429172,5,3,8,0.625,0
0,edge_0_2,21,0,0,-1,0.0,0.17654476670870115,2,6,8,0.25,0
0,121614,20,40,4,2,0.0,0.16813787305590586,9,3,12,0.75,0
0,206567,20,42,3,1,0.0,0.16813787305590586,5,5,10,0.5,0
0,edge_0_206567,20,0,0,-1,0.0,0.16813787305590586,7,5,12,0.5833333333333334,0
0,253875,20,20,2,5,0.0,0.16813787305590586,0,0,0,0.0,0
0,413808,19,40,3,1,0.0,0.15973097940311054,7,4,11,0.6363636363636364,0
0,233900,19,35,8,18,0.0,0.15973097940311054,0,0,0,0.0,0
0,edge_0_274042,19,0,0,-1,0.0,0.15973097940311054,6,5,11,0.5454545454545454,0
0,211364,18,35,12,7,0.0,0.15132408575031525,0,0,0,0.0,0
0,384120,18,36,2,9,0.0,0.15132408575031525,0,0,0,0.0,0
0,edge_101215_411025,18,0,0,-1,0.0,0.15132408575031525,0,3,3,0.0,1
