start,node,c,access,out_degree,dist_from_start,auth_fail_rate,contribution_pct
0,0,1519,2343,11,0,0.0,21.518628700949144
0,edge_0_2,232,0,0,-1,0.0,3.286584502054115
0,edge_0_3,213,0,0,-1,0.0,3.0174245643858906
0,edge_0_1,195,0,0,-1,0.0,2.7624309392265194
0,2,187,414,10,1,0.0,2.6491004391556876
0,3,170,378,10,1,0.0,2.4082731265051707
0,4,133,274,116,1,0.0,1.8841195636775747
0,10,112,237,43,1,0.0,1.586627000991642
0,9,111,247,86,1,0.0,1.5724606884827879
0,edge_0_9,111,0,0,-1,0.0,1.5724606884827879
0,edge_0_369684,106,0,0,-1,0.0,1.5016291259385182
0,edge_0_10,102,0,0,-1,0.0,1.4449638759031025
0,edge_0_4,99,0,0,-1,0.0,1.4024649383765406
0,edge_0_7,97,0,0,-1,0.0,1.3741323133588328
0,edge_0_8,95,0,0,-1,0.0,1.3457996883411247
0,edge_0_6,92,0,0,-1,0.0,1.3033007508145629
0,edge_0_5,92,0,0,-1,0.0,1.3033007508145629
0,6,91,201,93,1,0.0,1.289134438305709
0,5,85,187,93,1,0.0,1.2041365632525853
0,8,79,116,52,1,0.0,1.1191386881994616
0,369684,76,174,11,1,0.0,1.0766397506728997
0,7,62,134,31,1,0.0,0.8783113755489446
0,edge_2_3,58,0,0,-1,0.0,0.8216461255135288
0,edge_1_2,30,0,0,-1,0.0,0.42498937526561836
0,392938,26,56,9,2,0.0,0.3683241252302026
0,edge_369684_392938,23,0,0,-1,0.0,0.3258251877036407
0,edge_1_3,19,0,0,-1,0.0,0.26915993766822494
0,edge_3_235,17,0,0,-1,0.0,0.24082731265051707
0,edge_2_6,17,0,0,-1,0.0,0.24082731265051707
0,edge_2_10,16,0,0,-1,0.0,0.22666100014166313
0,44,15,34,20,2,0.0,0.21249468763280918
0,34,15,29,19,2,0.0,0.21249468763280918
0,edge_3_4,15,0,0,-1,0.0,0.21249468763280918
0,235,13,31,15,2,0.0,0.1841620626151013
0,edge_3_44,13,0,0,-1,0.0,0.1841620626151013
0,4955,13,14,16,2,0.0,0.1841620626151013
0,edge_2_47,13,0,0,-1,0.0,0.1841620626151013
0,118,12,27,18,2,0.0,0.16999575010624735
0,edge_3_5,12,0,0,-1,0.0,0.16999575010624735
0,48,10,20,19,2,0.0,0.14166312508853945
0,46,10,22,15,2,0.0,0.14166312508853945
0,36,10,22,21,2,0.0,0.14166312508853945
0,edge_2_355,10,0,0,-1,0.0,0.14166312508853945
0,edge_3_4955,10,0,0,-1,0.0,0.14166312508853945
0,edge_2_54,10,0,0,-1,0.0,0.14166312508853945
0,edge_3_4954,10,0,0,-1,0.0,0.14166312508853945
0,edge_2_118,10,0,0,-1,0.0,0.14166312508853945
0,edge_2_4,9,0,0,-1,0.0,0.1274968125796855
0,317925,9,9,8,2,0.0,0.1274968125796855
0,1917,8,18,11,2,0.0,0.11333050007083156
0,4954,8,15,10,2,0.0,0.11333050007083156
0,57,8,17,14,2,0.0,0.11333050007083156
0,edge_3_34,8,0,0,-1,0.0,0.11333050007083156
0,edge_10_1034,8,0,0,-1,0.0,0.11333050007083156
0,edge_369684_376451,8,0,0,-1,0.0,0.11333050007083156
0,edge_369684_392939,8,0,0,-1,0.0,0.11333050007083156
0,12516,7,14,8,2,0.0,0.09916418756197762
0,2494,7,16,6,3,0.0,0.09916418756197762
0,89,7,14,13,3,0.0,0.09916418756197762
0,54,7,14,14,2,0.0,0.09916418756197762
0,395939,7,14,6,3,0.0,0.09916418756197762
0,edge_5288_369684,7,0,0,-1,0.0,0.09916418756197762
0,edge_10_311766,6,0,0,-1,0.0,0.08499787505312367
0,1035,6,12,7,2,0.0,0.08499787505312367
0,182629,6,12,6,2,0.0,0.08499787505312367
0,392939,6,12,6,2,0.0,0.08499787505312367
0,375793,6,12,7,2,0.0,0.08499787505312367
0,5288,6,12,8,2,0.0,0.08499787505312367
0,311768,6,12,6,2,0.0,0.08499787505312367
0,325019,6,14,5,2,0.0,0.08499787505312367
0,29060,6,13,7,2,0.0,0.08499787505312367
0,15328,6,13,7,2,0.0,0.08499787505312367
0,373736,6,12,5,2,0.0,0.08499787505312367
0,371142,5,9,7,2,0.0,0.07083156254426973
0,185,5,10,8,2,0.0,0.07083156254426973
0,149213,5,12,4,4,0.0,0.07083156254426973
0,178193,5,10,5,2,0.0,0.07083156254426973
0,398533,5,10,5,2,0.0,0.07083156254426973
0,16228,5,9,5,4,0.0,0.07083156254426973
0,325018,5,11,7,2,0.0,0.07083156254426973
0,177988,5,10,5,2,0.0,0.07083156254426973
0,75067,5,9,6,2,0.0,0.07083156254426973
0,1521,5,10,6,2,0.0,0.07083156254426973
0,340370,5,10,3,2,0.0,0.07083156254426973
0,359915,5,10,3,3,0.0,0.07083156254426973
0,1130,5,10,6,4,0.0,0.07083156254426973
0,204889,5,10,4,2,0.0,0.07083156254426973
0,edge_109_369684,5,0,0,-1,0.0,0.07083156254426973
0,edge_7_9,5,0,0,-1,0.0,0.07083156254426973
0,edge_10_208815,5,0,0,-1,0.0,0.07083156254426973
0,edge_1917_369684,5,0,0,-1,0.0,0.07083156254426973
0,edge_10_377876,5,0,0,-1,0.0,0.07083156254426973
0,edge_5289_369684,5,0,0,-1,0.0,0.07083156254426973
0,edge_1917_392938,5,0,0,-1,0.0,0.07083156254426973
0,edge_10_398379,5,0,0,-1,0.0,0.07083156254426973
0,edge_392938_392939,5,0,0,-1,0.0,0.07083156254426973
0,edge_10_373736,5,0,0,-1,0.0,0.07083156254426973
0,edge_29060_369684,5,0,0,-1,0.0,0.07083156254426973
0,376451,5,6,4,2,0.0,0.07083156254426973
0,50,4,8,7,3,0.0,0.05666525003541578
0,311766,4,8,6,2,0.0,0.05666525003541578
0,233,4,8,6,2,0.0,0.05666525003541578
0,197188,4,8,4,2,0.0,0.05666525003541578
0,58,4,8,5,2,0.0,0.05666525003541578
0,357401,4,8,4,2,0.0,0.05666525003541578
0,328639,4,10,4,2,0.0,0.05666525003541578
0,1056,4,8,5,2,0.0,0.05666525003541578
0,1060,4,8,8,2,0.0,0.05666525003541578
0,341553,4,8,4,4,0.0,0.05666525003541578
0,398398,4,8,4,3,0.0,0.05666525003541578
0,164738,4,8,4,7,0.0,0.05666525003541578
0,336908,4,8,5,2,0.0,0.05666525003541578
0,111,4,8,4,3,0.0,0.05666525003541578
0,edge_7_201541,4,0,0,-1,0.0,0.05666525003541578
0,346426,4,7,5,3,0.0,0.05666525003541578
0,390572,4,7,3,3,0.0,0.05666525003541578
0,1122,4,8,6,4,0.0,0.05666525003541578
0,57379,4,8,4,6,0.0,0.05666525003541578
0,21093,4,8,3,4,0.0,0.05666525003541578
0,edge_5287_392938,4,0,0,-1,0.0,0.05666525003541578
0,edge_7_46,4,0,0,-1,0.0,0.05666525003541578
0,edge_4_18747,4,0,0,-1,0.0,0.05666525003541578
0,edge_10_1523,4,0,0,-1,0.0,0.05666525003541578
0,edge_10_270057,4,0,0,-1,0.0,0.05666525003541578
0,edge_8_177988,4,0,0,-1,0.0,0.05666525003541578
0,edge_8_293765,4,0,0,-1,0.0,0.05666525003541578
0,edge_10_336743,4,0,0,-1,0.0,0.05666525003541578
0,edge_9_311768,4,0,0,-1,0.0,0.05666525003541578
0,edge_7_1522,4,0,0,-1,0.0,0.05666525003541578
0,367425,3,6,4,2,0.0,0.042498937526561836
0,176341,3,6,4,2,0.0,0.042498937526561836
0,255648,3,8,5,3,0.0,0.042498937526561836
0,5287,3,8,5,3,0.0,0.042498937526561836
0,5290,3,6,4,3,0.0,0.042498937526561836
0,5164,3,6,4,2,0.0,0.042498937526561836
0,371143,3,6,4,2,0.0,0.042498937526561836
0,edge_10_336962,3,0,0,-1,0.0,0.042498937526561836
0,5289,3,8,6,2,0.0,0.042498937526561836
0,249288,3,6,4,4,0.0,0.042498937526561836
0,2752,3,6,4,2,0.0,0.042498937526561836
0,336962,3,5,4,2,0.0,0.042498937526561836
0,45248,3,6,4,4,0.0,0.042498937526561836
0,249394,3,5,4,2,0.0,0.042498937526561836
0,293766,3,6,3,2,0.0,0.042498937526561836
0,61,3,6,6,2,0.0,0.042498937526561836
0,19449,3,6,4,4,0.0,0.042498937526561836
0,1522,3,6,5,2,0.0,0.042498937526561836
0,95965,3,5,4,5,0.0,0.042498937526561836
0,70868,3,6,4,7,0.0,0.042498937526561836
0,233741,3,6,3,2,0.0,0.042498937526561836
0,119,3,6,4,3,0.0,0.042498937526561836
0,93814,3,6,4,3,0.0,0.042498937526561836
0,25247,3,6,3,4,0.0,0.042498937526561836
0,252499,3,6,4,3,0.0,0.042498937526561836
0,303746,3,6,3,3,0.0,0.042498937526561836
0,49293,3,6,5,3,0.0,0.042498937526561836
0,360482,3,6,4,2,0.0,0.042498937526561836
0,385405,3,6,5,2,0.0,0.042498937526561836
0,325020,3,8,5,2,0.0,0.042498937526561836
0,270057,3,6,3,2,0.0,0.042498937526561836
0,213753,3,6,3,2,0.0,0.042498937526561836
0,155356,3,8,5,2,0.0,0.042498937526561836
0,12564,3,5,3,4,0.0,0.042498937526561836
0,402189,3,6,2,2,0.0,0.042498937526561836
0,371122,3,8,4,2,0.0,0.042498937526561836
0,290015,3,8,5,2,0.0,0.042498937526561836
0,18747,3,6,3,2,0.0,0.042498937526561836
0,340812,3,6,4,3,0.0,0.042498937526561836
0,344838,3,5,4,3,0.0,0.042498937526561836
0,5989,3,6,4,3,0.0,0.042498937526561836
0,96304,3,6,4,4,0.0,0.042498937526561836
0,395938,3,6,5,4,0.0,0.042498937526561836
0,335471,3,6,6,2,0.0,0.042498937526561836
0,293765,3,10,4,2,0.0,0.042498937526561836
0,225104,3,6,2,5,0.0,0.042498937526561836
0,157621,3,6,4,6,0.0,0.042498937526561836
0,242818,3,5,5,3,0.0,0.042498937526561836
0,276596,3,6,4,2,0.0,0.042498937526561836
0,194950,3,6,3,3,0.0,0.042498937526561836
0,103251,3,5,4,5,0.0,0.042498937526561836
0,335836,3,6,3,2,0.0,0.042498937526561836
0,1034,3,8,3,2,0.0,0.042498937526561836
0,1523,3,6,5,2,0.0,0.042498937526561836
0,35874,3,6,4,2,0.0,0.042498937526561836
0,198297,3,6,4,4,0.0,0.042498937526561836
0,1572,3,5,4,4,0.0,0.042498937526561836
0,43891,3,6,4,2,0.0,0.042498937526561836
0,1050,3,6,5,3,0.0,0.042498937526561836
0,317928,3,6,6,3,0.0,0.042498937526561836
0,59,3,6,4,2,0.0,0.042498937526561836
0,353262,3,8,4,2,0.0,0.042498937526561836
0,304144,3,6,4,2,0.0,0.042498937526561836
0,385548,3,7,3,5,0.0,0.042498937526561836
0,306578,3,6,4,2,0.0,0.042498937526561836
0,155,3,5,7,3,0.0,0.042498937526561836
0,229912,3,6,4,3,0.0,0.042498937526561836
0,248262,3,6,3,4,0.0,0.042498937526561836
0,39643,3,6,3,4,0.0,0.042498937526561836
0,315856,3,6,4,3,0.0,0.042498937526561836
0,363886,3,6,4,2,0.0,0.042498937526561836
0,75066,3,6,4,3,0.0,0.042498937526561836
0,204167,3,6,3,2,0.0,0.042498937526561836
0,4943,3,6,5,2,0.0,0.042498937526561836
0,299,3,6,4,3,0.0,0.042498937526561836
0,364528,3,6,4,3,0.0,0.042498937526561836
0,edge_4_367425,3,0,0,-1,0.0,0.042498937526561836
0,edge_252499_392938,3,0,0,-1,0.0,0.042498937526561836
0,edge_1917_5290,3,0,0,-1,0.0,0.042498937526561836
0,edge_9_21006,3,0,0,-1,0.0,0.042498937526561836
0,edge_6_293737,3,0,0,-1,0.0,0.042498937526561836
0,edge_8_2752,3,0,0,-1,0.0,0.042498937526561836
0,edge_9_57,3,0,0,-1,0.0,0.042498937526561836
0,edge_8_61,3,0,0,-1,0.0,0.042498937526561836
0,edge_9_335838,3,0,0,-1,0.0,0.042498937526561836
0,edge_197188_233741,3,0,0,-1,0.0,0.042498937526561836
0,edge_233741_325018,3,0,0,-1,0.0,0.042498937526561836
0,edge_58_14048,3,0,0,-1,0.0,0.042498937526561836
0,edge_10_1035,3,0,0,-1,0.0,0.042498937526561836
0,edge_100711_182629,3,0,0,-1,0.0,0.042498937526561836
0,edge_5_6,3,0,0,-1,0.0,0.042498937526561836
0,edge_56605_369684,3,0,0,-1,0.0,0.042498937526561836
0,edge_10_328639,3,0,0,-1,0.0,0.042498937526561836
0,edge_10_111448,3,0,0,-1,0.0,0.042498937526561836
0,edge_6_402189,3,0,0,-1,0.0,0.042498937526561836
0,edge_10_266827,3,0,0,-1,0.0,0.042498937526561836
0,edge_9_96005,3,0,0,-1,0.0,0.042498937526561836
0,edge_384252_395939,3,0,0,-1,0.0,0.042498937526561836
0,edge_325019_325020,3,0,0,-1,0.0,0.042498937526561836
0,edge_5_340370,3,0,0,-1,0.0,0.042498937526561836
0,edge_10_229238,3,0,0,-1,0.0,0.042498937526561836
0,edge_10_353262,3,0,0,-1,0.0,0.042498937526561836
0,edge_15328_359915,3,0,0,-1,0.0,0.042498937526561836
0,1535,3,4,6,2,0.0,0.042498937526561836
0,edge_385548_385550,3,0,0,-1,0.0,0.042498937526561836
0,edge_75066_204889,3,0,0,-1,0.0,0.042498937526561836
0,edge_4_1521,3,0,0,-1,0.0,0.042498937526561836
0,edge_8_334568,3,0,0,-1,0.0,0.042498937526561836
0,edge_373735_373736,3,0,0,-1,0.0,0.042498937526561836
2,2,2894,2561,6,0,0.4364201796821009,45.02878481406566
2,edge_1_2,424,0,0,-1,0.0,6.597168196670297
2,54,308,424,67,1,0.37012987012987014,4.792282557958612
2,edge_2_6,290,0,0,-1,0.33448275862068966,4.512214096779212
2,4,236,271,120,1,0.2754237288135593,3.6720087132410146
2,edge_2_355,219,0,0,-1,0.0,3.4074996110160263
2,edge_2_54,215,0,0,-1,0.0,3.345262175198382
2,edge_2_4,208,0,0,-1,0.0,3.236346662517504
2,edge_2_47,207,0,0,-1,0.0,3.2207873035630934
2,91795,22,12,4,3,0.7272727272727273,0.3423058969970437
2,53784,12,5,3,5,0.75,0.18671230745293294
2,7668,12,22,5,2,0.08333333333333333,0.18671230745293294
2,324306,12,12,4,2,0.5833333333333334,0.18671230745293294
2,edge_54_138809,11,0,0,-1,0.45454545454545453,0.17115294849852186
2,316050,10,16,7,2,0.1,0.1555935895441108
2,64079,10,10,5,3,0.5,0.1555935895441108
2,2493,10,11,7,2,0.3,0.1555935895441108
2,107441,10,8,4,2,0.6,0.1555935895441108
2,22360,10,6,4,3,0.7,0.1555935895441108
2,295,10,16,5,3,0.2,0.1555935895441108
2,1088,10,12,6,3,0.5,0.1555935895441108
2,edge_7668_7669,10,0,0,-1,0.3,0.1555935895441108
2,edge_54_113531,10,0,0,-1,0.5,0.1555935895441108
2,360491,10,6,4,2,0.4,0.1555935895441108
2,edge_54_139456,9,0,0,-1,0.0,0.14003423058969972
2,139456,9,14,8,2,0.0,0.14003423058969972
2,167,9,10,3,3,0.4444444444444444,0.14003423058969972
2,185,9,12,7,3,0.4444444444444444,0.14003423058969972
2,edge_150211_254126,9,0,0,-1,0.5555555555555556,0.14003423058969972
2,201934,8,6,3,3,0.625,0.12447487163528863
2,2547,8,12,8,2,0.25,0.12447487163528863
2,7268,8,9,6,3,0.375,0.12447487163528863
2,96135,8,8,1,2,0.5,0.12447487163528863
2,7670,8,7,4,2,0.5,0.12447487163528863
2,240,8,7,5,4,0.5,0.12447487163528863
2,166,8,10,8,2,0.375,0.12447487163528863
2,150211,8,14,3,2,0.25,0.12447487163528863
2,48947,8,11,6,3,0.25,0.12447487163528863
2,143661,8,8,3,4,0.5,0.12447487163528863
2,207897,7,10,5,2,0.2857142857142857,0.10891551268087755
2,5726,7,10,7,2,0.2857142857142857,0.10891551268087755
2,1051,7,12,5,2,0.42857142857142855,0.10891551268087755
2,37095,7,6,4,2,0.5714285714285714,0.10891551268087755
2,201541,7,11,5,2,0.2857142857142857,0.10891551268087755
2,281217,7,8,6,2,0.42857142857142855,0.10891551268087755
2,edge_54_352196,7,0,0,-1,0.2857142857142857,0.10891551268087755
2,85176,6,5,3,2,0.5,0.09335615372646647
2,343700,6,6,3,2,0.5,0.09335615372646647
2,136566,6,9,5,5,0.16666666666666666,0.09335615372646647
2,365520,6,6,2,3,0.5,0.09335615372646647
2,371141,6,9,5,2,0.16666666666666666,0.09335615372646647
2,230,6,12,5,2,0.0,0.09335615372646647
2,1522,6,3,3,2,0.6666666666666666,0.09335615372646647
2,164250,6,8,5,2,0.3333333333333333,0.09335615372646647
2,edge_47_54,6,0,0,-1,0.0,0.09335615372646647
2,edge_4_96135,6,0,0,-1,0.0,0.09335615372646647
2,edge_54_357005,6,0,0,-1,0.3333333333333333,0.09335615372646647
2,edge_1948_91795,6,0,0,-1,0.5,0.09335615372646647
2,256947,5,4,3,2,0.6,0.0777967947720554
2,15003,5,9,5,2,0.2,0.0777967947720554
2,12864,5,12,4,5,0.0,0.0777967947720554
2,48,5,9,6,2,0.4,0.0777967947720554
2,250440,5,2,2,5,0.8,0.0777967947720554
2,382675,5,6,4,2,0.4,0.0777967947720554
2,189148,5,6,3,2,0.4,0.0777967947720554
2,66801,5,4,3,3,0.6,0.0777967947720554
2,126356,5,6,4,2,0.4,0.0777967947720554
2,10228,5,8,4,2,0.4,0.0777967947720554
2,262156,5,6,4,2,0.4,0.0777967947720554
2,304146,5,2,2,4,0.8,0.0777967947720554
2,182123,5,10,4,3,0.2,0.0777967947720554
2,336962,5,5,4,2,0.4,0.0777967947720554
2,edge_54_306783,5,0,0,-1,0.0,0.0777967947720554
2,edge_54_15003,5,0,0,-1,0.0,0.0777967947720554
2,edge_54_1051,5,0,0,-1,0.0,0.0777967947720554
2,edge_4_230,5,0,0,-1,0.0,0.0777967947720554
2,edge_167_230,5,0,0,-1,0.0,0.0777967947720554
2,376451,5,3,4,2,0.4,0.0777967947720554
2,107440,4,4,2,3,0.5,0.062237435817644314
2,31623,4,4,3,6,0.5,0.062237435817644314
2,58,4,9,7,2,0.25,0.062237435817644314
2,edge_54_85176,4,0,0,-1,0.0,0.062237435817644314
2,325019,4,6,4,2,0.25,0.062237435817644314
2,263996,4,10,4,2,0.0,0.062237435817644314
2,374582,4,8,3,2,0.25,0.062237435817644314
2,edge_54_7670,4,0,0,-1,0.0,0.062237435817644314
2,95168,4,8,3,2,0.25,0.062237435817644314
2,5562,4,6,4,2,0.25,0.062237435817644314
2,edge_4_7670,4,0,0,-1,0.0,0.062237435817644314
2,265601,4,10,4,3,0.0,0.062237435817644314
2,48942,4,6,5,2,0.25,0.062237435817644314
2,105,4,6,3,4,0.25,0.062237435817644314
2,1056,4,5,3,2,0.5,0.062237435817644314
2,240510,4,6,4,3,0.25,0.062237435817644314
2,348520,4,4,2,2,0.5,0.062237435817644314
2,309176,4,2,1,2,0.75,0.062237435817644314
2,201540,4,8,3,2,0.25,0.062237435817644314
2,edge_54_377338,4,0,0,-1,0.5,0.062237435817644314
2,63404,4,4,3,3,0.5,0.062237435817644314
2,65646,4,2,1,2,0.75,0.062237435817644314
2,1032,4,6,5,3,0.25,0.062237435817644314
2,edge_54_184669,4,0,0,-1,0.0,0.062237435817644314
2,edge_4_197725,4,0,0,-1,0.5,0.062237435817644314
2,edge_54_306578,4,0,0,-1,0.0,0.062237435817644314
2,edge_54_5738,4,0,0,-1,0.0,0.062237435817644314
2,edge_5_54,4,0,0,-1,0.5,0.062237435817644314
2,edge_4_7669,4,0,0,-1,0.5,0.062237435817644314
2,edge_64079_71322,4,0,0,-1,0.0,0.062237435817644314
2,edge_54_163332,4,0,0,-1,0.0,0.062237435817644314
2,edge_54_2493,4,0,0,-1,0.0,0.062237435817644314
2,edge_54_150211,4,0,0,-1,0.0,0.062237435817644314
2,edge_54_107441,4,0,0,-1,0.0,0.062237435817644314
2,edge_159_295,4,0,0,-1,0.5,0.062237435817644314
2,edge_54_201541,4,0,0,-1,0.0,0.062237435817644314
2,edge_54_207086,4,0,0,-1,0.5,0.062237435817644314
2,edge_1088_38017,4,0,0,-1,0.0,0.062237435817644314
2,edge_6_201540,4,0,0,-1,0.5,0.062237435817644314
2,edge_89_336908,4,0,0,-1,0.5,0.062237435817644314
2,184669,3,4,2,2,0.6666666666666666,0.046678076863233234
2,260108,3,2,3,2,0.3333333333333333,0.046678076863233234
2,265218,3,6,3,4,0.0,0.046678076863233234
2,edge_4_336908,3,0,0,-1,0.0,0.046678076863233234
2,edge_4_12514,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,207587,3,6,4,2,0.0,0.046678076863233234
2,edge_4_143740,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,378090,3,6,3,2,0.3333333333333333,0.046678076863233234
2,5873,3,5,4,3,0.0,0.046678076863233234
2,136565,3,2,2,3,0.6666666666666666,0.046678076863233234
2,160625,3,4,3,4,0.3333333333333333,0.046678076863233234
2,136564,3,2,2,6,0.6666666666666666,0.046678076863233234
2,300898,3,7,5,2,0.0,0.046678076863233234
2,edge_4_240058,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,371144,3,4,2,3,0.3333333333333333,0.046678076863233234
2,1052,3,4,3,3,0.3333333333333333,0.046678076863233234
2,265600,3,4,3,4,0.3333333333333333,0.046678076863233234
2,257220,3,6,3,2,0.0,0.046678076863233234
2,146195,3,4,2,3,0.6666666666666666,0.046678076863233234
2,385405,3,6,3,2,0.0,0.046678076863233234
2,1633,3,6,4,3,0.0,0.046678076863233234
2,27845,3,4,3,4,0.3333333333333333,0.046678076863233234
2,38017,3,4,1,4,0.3333333333333333,0.046678076863233234
2,336908,3,6,3,2,0.0,0.046678076863233234
2,205651,3,1,2,4,0.6666666666666666,0.046678076863233234
2,1519,3,4,4,2,0.3333333333333333,0.046678076863233234
2,edge_232277_265218,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_53784_53786,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_4_367231,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_54_303705,3,0,0,-1,0.0,0.046678076863233234
2,edge_9_54,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_343700,3,0,0,-1,0.0,0.046678076863233234
2,edge_12864_12866,3,0,0,-1,0.0,0.046678076863233234
2,edge_12863_12864,3,0,0,-1,0.6666666666666666,0.046678076863233234
2,edge_54_380331,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_95168,3,0,0,-1,0.0,0.046678076863233234
2,edge_217942_263996,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_4_374582,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_324306,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_212539,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_54_281217,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_5726,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_293766,3,0,0,-1,0.0,0.046678076863233234
2,edge_54_5562,3,0,0,-1,0.0,0.046678076863233234
2,edge_9313_324306,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_265601_284853,3,0,0,-1,0.6666666666666666,0.046678076863233234
2,edge_265600_284851,3,0,0,-1,0.6666666666666666,0.046678076863233234
2,edge_254006_265601,3,0,0,-1,0.0,0.046678076863233234
2,edge_4_360491,3,0,0,-1,0.0,0.046678076863233234
2,edge_231_295,3,0,0,-1,0.0,0.046678076863233234
2,edge_22359_316050,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_271578_316050,3,0,0,-1,0.6666666666666666,0.046678076863233234
2,edge_1056_1059,3,0,0,-1,0.6666666666666666,0.046678076863233234
2,edge_54_130287,3,0,0,-1,0.0,0.046678076863233234
2,edge_4_336961,3,0,0,-1,0.3333333333333333,0.046678076863233234
2,edge_92201_143661,3,0,0,-1,0.3333333333333333,0.046678076863233234
3,3,2612,3568,8,0,0.21937212863705974,30.255994439939766
3,edge_2_3,630,0,0,-1,0.3968253968253968,7.297579057106452
3,edge_1_3,354,0,0,-1,0.0,4.100544422564578
3,4954,320,473,33,1,0.321875,3.7067068226572455
3,4,285,400,119,1,0.3508771929824561,3.3012857639291093
3,edge_3_235,275,0,0,-1,0.3418181818181818,3.18545117572107
3,edge_3_34,267,0,0,-1,0.3146067415730337,3.0927835051546393
3,4955,264,215,23,1,0.2765151515151515,3.0580331286922275
3,5,254,380,141,1,0.3228346456692913,2.9421985404841884
3,edge_3_4955,206,0,0,-1,0.0,2.3861925170856018
3,edge_3_4954,205,0,0,-1,0.0,2.374609058264798
3,edge_3_4,181,0,0,-1,0.0,2.0966060465655043
3,edge_3_5,164,0,0,-1,0.0,1.8996872466118382
3,5543,42,40,5,2,0.5238095238095238,0.48650527047376346
3,36,31,44,22,2,0.3548387096774194,0.35908722344492067
3,117579,30,42,5,2,0.36666666666666664,0.34750376462411675
3,49293,27,30,15,3,0.4444444444444444,0.31275338816170506
3,30276,24,36,8,3,0.25,0.2780030116992934
3,edge_4954_60856,23,0,0,-1,0.391304347826087,0.2664195528784895
3,edge_4955_5543,23,0,0,-1,0.0,0.2664195528784895
3,398533,20,22,4,2,0.5,0.23166917641607784
3,381516,19,14,4,2,0.631578947368421,0.22008571759527396
3,48,19,29,19,2,0.2631578947368421,0.22008571759527396
3,49292,19,28,9,2,0.2631578947368421,0.22008571759527396
3,49295,18,10,4,2,0.7777777777777778,0.20850225877447007
3,341195,18,20,4,3,0.4444444444444444,0.20850225877447007
3,edge_173_4955,18,0,0,-1,0.3888888888888889,0.20850225877447007
3,186898,17,18,6,2,0.5882352941176471,0.19691879995366615
3,6501,16,19,4,2,0.4375,0.18533534113286226
3,27517,16,22,7,3,0.3125,0.18533534113286226
