start,node,c,access,out_degree,dist_from_start,auth_fail_rate,contribution_pct
0,0,155,245,16,0,0.0,16.281512605042018
0,23073,23,45,18,1,0.0,2.4159663865546217
0,274042,22,48,9,1,0.0,2.310924369747899
0,123880,18,37,8,1,0.0,1.8907563025210083
0,edge_0_120044,16,0,0,-1,0.0,1.680672268907563
0,edge_0_369692,15,0,0,-1,0.0,1.5756302521008403
0,120044,15,34,11,1,0.0,1.5756302521008403
0,101215,14,30,8,1,0.0,1.4705882352941178
0,75503,14,28,14,1,0.0,1.4705882352941178
0,edge_0_123880,14,0,0,-1,0.0,1.4705882352941178
0,369692,13,15,7,1,0.0,1.365546218487395
0,206567,13,28,3,1,0.0,1.365546218487395
0,33971,12,28,16,1,0.0,1.2605042016806722
0,edge_0_2,12,0,0,-1,0.0,1.2605042016806722
0,edge_0_411025,12,0,0,-1,0.0,1.2605042016806722
0,1,11,24,12,1,0.0,1.1554621848739495
0,411025,11,24,2,1,0.0,1.1554621848739495
0,edge_0_206567,11,0,0,-1,0.0,1.1554621848739495
0,edge_0_101215,10,0,0,-1,0.0,1.050420168067227
0,edge_0_23073,10,0,0,-1,0.0,1.050420168067227
0,edge_0_1,9,0,0,-1,0.0,0.9453781512605042
0,edge_0_33971,9,0,0,-1,0.0,0.9453781512605042
0,edge_0_274042,9,0,0,-1,0.0,0.9453781512605042
0,78702,8,18,9,2,0.0,0.8403361344537815
0,edge_0_33043,8,0,0,-1,0.0,0.8403361344537815
0,edge_120044_206567,8,0,0,-1,0.0,0.8403361344537815
0,edge_0_124002,7,0,0,-1,0.0,0.7352941176470589
0,edge_101215_411025,6,0,0,-1,0.0,0.6302521008403361
0,33043,6,7,7,1,0.0,0.6302521008403361
0,edge_23073_274042,6,0,0,-1,0.0,0.6302521008403361
0,120039,6,7,5,2,0.0,0.6302521008403361
0,edge_0_75503,6,0,0,-1,0.0,0.6302521008403361
0,edge_0_413808,6,0,0,-1,0.0,0.6302521008403361
0,183636,5,10,6,3,0.0,0.5252100840336135
0,413808,5,14,3,1,0.0,0.5252100840336135
0,edge_0_4519,5,0,0,-1,0.0,0.5252100840336135
0,edge_120039_223135,5,0,0,-1,0.0,0.5252100840336135
0,124002,4,8,5,1,0.0,0.42016806722689076
0,edge_123880_369692,4,0,0,-1,0.0,0.42016806722689076
0,80743,4,7,5,2,0.0,0.42016806722689076
0,425505,4,8,1,4,0.0,0.42016806722689076
0,4519,4,8,5,1,0.0,0.42016806722689076
0,215179,4,10,3,2,0.0,0.42016806722689076
0,410410,4,8,3,3,0.0,0.42016806722689076
0,86133,4,7,5,4,0.0,0.42016806722689076
0,edge_123880_125170,4,0,0,-1,0.0,0.42016806722689076
0,edge_75503_123880,4,0,0,-1,0.0,0.42016806722689076
0,edge_75503_274042,4,0,0,-1,0.0,0.42016806722689076
0,edge_274042_369692,4,0,0,-1,0.0,0.42016806722689076
0,edge_50034_425505,4,0,0,-1,0.0,0.42016806722689076
0,362961,3,6,2,4,0.0,0.31512605042016806
0,390357,3,6,3,4,0.0,0.31512605042016806
0,146324,3,5,4,5,0.0,0.31512605042016806
0,169112,3,6,4,3,0.0,0.31512605042016806
0,35367,3,6,5,2,0.0,0.31512605042016806
0,375413,3,6,3,2,0.0,0.31512605042016806
0,19689,3,6,4,2,0.0,0.31512605042016806
0,241354,3,6,2,2,0.0,0.31512605042016806
0,73512,3,6,4,2,0.0,0.31512605042016806
0,170375,3,6,3,5,0.0,0.31512605042016806
0,103133,3,5,4,2,0.0,0.31512605042016806
0,199598,3,6,3,5,0.0,0.31512605042016806
0,edge_33971_101215,3,0,0,-1,0.0,0.31512605042016806
0,edge_362961_362962,3,0,0,-1,0.0,0.31512605042016806
0,edge_93422_120044,3,0,0,-1,0.0,0.31512605042016806
0,edge_375412_375413,3,0,0,-1,0.0,0.31512605042016806
0,223135,3,3,2,3,0.0,0.31512605042016806
0,edge_123880_274042,3,0,0,-1,0.0,0.31512605042016806
0,edge_274042_339527,3,0,0,-1,0.0,0.31512605042016806
0,edge_35367_274042,3,0,0,-1,0.0,0.31512605042016806
0,edge_23073_126488,3,0,0,-1,0.0,0.31512605042016806
0,edge_123880_254939,3,0,0,-1,0.0,0.31512605042016806
0,edge_123880_287903,3,0,0,-1,0.0,0.31512605042016806
0,edge_75503_401379,3,0,0,-1,0.0,0.31512605042016806
0,edge_124002_206567,3,0,0,-1,0.0,0.31512605042016806
1,1,219,274,58,0,0.2602739726027397,22.83628779979145
1,16408,16,29,13,1,0.125,1.6684045881126173
1,21502,14,21,11,1,0.21428571428571427,1.4598540145985401
1,320038,13,10,4,12,0.6153846153846154,1.3555787278415015
1,47489,12,12,8,1,0.3333333333333333,1.251303441084463
1,84805,12,22,9,1,0.08333333333333333,1.251303441084463
1,edge_1_229958,12,0,0,-1,0.0,1.251303441084463
1,9335,12,12,8,1,0.25,1.251303441084463
1,40548,11,14,3,1,0.45454545454545453,1.1470281543274243
1,29998,11,10,3,1,0.5454545454545454,1.1470281543274243
1,edge_1_44446,10,0,0,-1,0.4,1.0427528675703859
1,15432,9,13,7,1,0.2222222222222222,0.9384775808133472
1,194924,9,13,6,1,0.3333333333333333,0.9384775808133472
1,6580,8,12,7,3,0.25,0.8342022940563086
1,10095,7,8,5,2,0.42857142857142855,0.7299270072992701
1,229958,7,10,1,1,0.42857142857142855,0.7299270072992701
1,32476,7,10,4,2,0.2857142857142857,0.7299270072992701
1,33762,7,11,3,1,0.14285714285714285,0.7299270072992701
1,31096,7,10,6,1,0.2857142857142857,0.7299270072992701
1,229870,7,8,2,2,0.42857142857142855,0.7299270072992701
1,edge_1_10971,7,0,0,-1,0.42857142857142855,0.7299270072992701
1,edge_1_84805,7,0,0,-1,0.0,0.7299270072992701
1,311172,6,8,3,4,0.3333333333333333,0.6256517205422315
1,103133,6,11,7,1,0.0,0.6256517205422315
1,7852,6,9,6,1,0.16666666666666666,0.6256517205422315
1,126452,6,6,4,2,0.5,0.6256517205422315
1,edge_162643_193261,6,0,0,-1,0.3333333333333333,0.6256517205422315
1,edge_1_66243,6,0,0,-1,0.0,0.6256517205422315
1,edge_1_16408,6,0,0,-1,0.0,0.6256517205422315
1,edge_1_33762,6,0,0,-1,0.0,0.6256517205422315
1,edge_15432_29998,6,0,0,-1,0.0,0.6256517205422315
1,173256,5,6,3,1,0.6,0.5213764337851929
1,22970,5,10,5,1,0.2,0.5213764337851929
1,edge_1_47489,5,0,0,-1,0.0,0.5213764337851929
1,147060,5,10,5,7,0.0,0.5213764337851929
1,34418,5,5,4,11,0.4,0.5213764337851929
1,87027,5,10,5,2,0.0,0.5213764337851929
1,edge_1_193261,5,0,0,-1,0.0,0.5213764337851929
1,193261,5,6,2,1,0.0,0.5213764337851929
1,edge_1_9335,5,0,0,-1,0.0,0.5213764337851929
1,edge_1_113230,5,0,0,-1,0.4,0.5213764337851929
1,66243,4,6,1,1,0.25,0.4171011470281543
1,edge_28072_33762,4,0,0,-1,0.0,0.4171011470281543
1,33126,4,6,4,1,0.25,0.4171011470281543
1,179100,4,8,4,1,0.25,0.4171011470281543
1,25200,4,6,4,3,0.25,0.4171011470281543
1,edge_21502_92739,4,0,0,-1,0.0,0.4171011470281543
1,edge_1_63386,4,0,0,-1,0.5,0.4171011470281543
1,edge_1_7741,4,0,0,-1,0.5,0.4171011470281543
1,edge_1_194924,4,0,0,-1,0.0,0.4171011470281543
1,edge_1_49063,4,0,0,-1,0.0,0.4171011470281543
1,edge_1_81806,4,0,0,-1,0.25,0.4171011470281543
1,edge_1_162643,4,0,0,-1,0.25,0.4171011470281543
1,77067,4,1,2,2,0.75,0.4171011470281543
1,edge_1_86291,4,0,0,-1,0.5,0.4171011470281543
1,edge_9335_423805,4,0,0,-1,0.0,0.4171011470281543
1,edge_55439_153484,4,0,0,-1,0.5,0.4171011470281543
1,edge_111342_169616,4,0,0,-1,0.0,0.4171011470281543
1,edge_1_40548,4,0,0,-1,0.0,0.4171011470281543
1,72823,4,3,4,2,0.25,0.4171011470281543
1,173255,3,3,4,1,0.3333333333333333,0.31282586027111575
1,58209,3,2,2,3,0.6666666666666666,0.31282586027111575
1,164373,3,6,3,1,0.0,0.31282586027111575
1,37774,3,6,3,1,0.0,0.31282586027111575
1,423805,3,6,1,2,0.0,0.31282586027111575
1,153484,3,6,3,2,0.0,0.31282586027111575
1,111342,3,8,3,2,0.0,0.31282586027111575
1,155277,3,2,2,2,0.6666666666666666,0.31282586027111575
1,3881,3,7,4,2,0.0,0.31282586027111575
1,12238,3,4,3,1,0.3333333333333333,0.31282586027111575
