graph,policy,walk_time_s,auth_time_s,prefetch_time_s,total_s,hit_rate,auth_calls_avg,prefetch_size_avg,n_valid,diff_vs_lru_total_s
amazon0601,none,30.5984,4.8851,0.0000,35.4836,0.0000,3140.2,0,5,+4.2637
amazon0601,memo,28.1551,2.3175,0.0000,30.4726,0.5272,1484.8,0,5,-0.7474
amazon0601,lru,28.5102,2.7097,0.0000,31.2199,0.4399,1758.8,0,5,+0.0000
amazon0601,arc,28.4459,2.6738,0.0000,31.1197,0.4455,1741.2,0,5,-0.1002
amazon0601,bfs_prefetch,28.0169,2.2970,0.3899,30.7038,0.5502,1412.4,4020,5,-0.5161
amazon0601,bfs_score,28.0785,2.4092,27.8929,58.3806,0.5353,1459.2,104,5,+27.1607
vldb,none,40.5276,16.9205,0.0000,57.4481,0.0000,12177.2,0,4,+14.1505
vldb,memo,32.6166,7.9311,0.0000,40.5477,0.5328,5689.2,0,4,-2.7499
vldb,lru,34.0095,9.2881,0.0000,43.2976,0.4502,6695.5,0,4,+0.0000
vldb,arc,34.2125,9.2887,0.0000,43.5011,0.4496,6702.2,0,4,+0.2036
vldb,bfs_prefetch,32.0453,7.9088,0.2941,40.2483,0.5433,5561.2,1866,4,-3.0493
vldb,bfs_score,32.3072,7.9061,9.5926,49.8059,0.5369,5639.8,100,4,+6.5083
