graph,rtt_pattern,rtt_ms,policy,walk_per_start_s,sim_per_start_s,total_per_start_s,hop_count_avg,auth_calls_avg,hit_rate,diff_vs_lru_s
amazon0601,close,10,none,30.5984,56.9460,87.5444,2554.40,3140.20,0.0000,+15.9022
amazon0601,close,10,memo,28.1551,40.3920,68.5471,2554.40,1484.80,0.5272,-3.0951
amazon0601,close,10,lru,28.5102,43.1320,71.6422,2554.40,1758.80,0.4399,+0.0000
amazon0601,close,10,arc,28.4459,42.9560,71.4019,2554.40,1741.20,0.4455,-0.2403
amazon0601,close,10,BFS_K=3,30.5984,45.6500,76.2484,2554.40,2010.60,0.3597,+4.6062
amazon0601,close,10,BFS_K=5,30.5984,42.9920,73.5904,2554.40,1744.80,0.4444,+1.9482
amazon0601,close,10,BFS_K=7,30.5984,41.5540,72.1524,2554.40,1601.00,0.4902,+0.5102
amazon0601,close,10,BFS_K=10,30.5984,40.1060,70.7044,2554.40,1456.20,0.5363,-0.9378
amazon0601,close,10,BFS_K=15,30.5984,39.6980,70.2964,2554.40,1415.40,0.5493,-1.3458
amazon0601,close,10,BFS-Score(top100),30.5984,45.4040,76.0024,2554.40,1986.00,0.3676,+4.3602
amazon0601,close,10,BFS-Score(top200),30.5984,42.3280,72.9264,2554.40,1678.40,0.4655,+1.2842
amazon0601,close,10,BFS-Score(top500),30.5984,35.9660,66.5644,2554.40,1042.20,0.6681,-5.0778
amazon0601,mid,60,none,30.5984,341.6760,372.2744,2554.40,3140.20,0.0000,+84.9722
amazon0601,mid,60,memo,28.1551,242.3520,270.5071,2554.40,1484.80,0.5272,-16.7951
amazon0601,mid,60,lru,28.5102,258.7920,287.3022,2554.40,1758.80,0.4399,+0.0000
amazon0601,mid,60,arc,28.4459,257.7360,286.1819,2554.40,1741.20,0.4455,-1.1203
amazon0601,mid,60,BFS_K=3,30.5984,273.9000,304.4984,2554.40,2010.60,0.3597,+17.1962
