project,alpha,walks,capacity,graph,policy,far_threshold,prefetch_depth,start_node,avg_length,total_steps,auth_time,walk_time,auth_calls,cache_hit,cache_miss,hit_rate,is_length1,is_failed,source_log
baseline,0.01,100,100,vldb,lru,,,0,119.95,11995,10.411243,41.050393,6765,5130,6765,0.4312736443883985,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.01,100,100,vldb,lru,,,1,0.0,0,0.0,0.0,0,0,0,0.0,True,True,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.01,100,100,vldb,memo,,,0,119.95,11995,53.504701,175.86046,16247,12437,16392,0.4314058760276111,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.01,100,100,vldb,memo,,,1,92.32,9232,40.514863,116.317686,8991,7449,9223,0.44679702495201534,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.01,100,100,vldb,memo,,,2,102.97,10297,42.480196,163.254423,6323,2360,6505,0.2662154540327129,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.01,100,100,vldb,memo,,,3,0.0,0,0.0,0.0,0,0,0,0.0,True,True,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.01,100,100,vldb,memo,,,4,1.0,100,2.217356,0.112147,97,499,115,0.8127035830618893,True,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.01,100,100,vldb,none,,,0,119.95,11995,91.253117,238.283482,32145,6978,32318,0.17757532573289903,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.01,100,100,vldb,none,,,1,92.32,9232,63.120561,155.224222,21927,5099,22011,0.1880855772777573,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.01,100,100,vldb,none,,,2,102.97,10297,15.686348,0.0,6914,4161,6956,0.3742916254385176,True,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.01,100,100,vldb,none,,,3,102.24,10224,39.317768,105.725889,18342,4385,18431,0.19218969144460027,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.01,100,100,vldb,none,,,4,1.0,100,0.06583,0.020414,36,403,53,0.8837719298245614,True,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.01,100,100,vldb,arc,,,0,119.95,11995,10.107601,40.271119,6772,5123,6772,0.43068516183270283,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.01,100,100,vldb,arc,,,1,92.32,9232,8.603592,29.517332,6271,5101,6271,0.4485578614139993,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.01,100,100,vldb,arc,,,2,102.97,10297,9.453908,32.935266,6805,6137,6805,0.4741925513830938,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.01,100,100,vldb,arc,,,3,102.24,10224,9.375683,33.91136,6961,5539,6961,0.44312,False,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.01,100,100,vldb,arc,,,4,1.0,100,0.002138,0.016154,1,98,1,0.98989898989899,True,False,base/auth-baseline-cache/results/alpha0.01_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.1,100,100,vldb,lru,,,0,10.52,1052,0.73611,3.032335,466,486,466,0.5105042016806722,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.1,100,100,vldb,lru,,,1,8.64,864,0.863288,2.709605,590,369,590,0.38477580813347234,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.1,100,100,vldb,lru,,,2,8.5,850,0.59654,2.341144,430,596,430,0.580896686159844,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.1,100,100,vldb,lru,,,3,7.05,705,0.395741,1.589312,271,453,271,0.6256906077348067,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.1,100,100,vldb,lru,,,4,1.0,100,0.002128,0.015408,1,84,1,0.9882352941176471,True,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/lru_100/vldb.log
baseline,0.1,100,100,vldb,memo,,,0,10.52,1052,0.563527,2.846826,352,600,352,0.6302521008403361,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.1,100,100,vldb,memo,,,1,8.64,864,0.688911,2.533691,469,490,469,0.5109489051094891,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.1,100,100,vldb,memo,,,2,8.5,850,0.392116,2.134182,288,738,288,0.7192982456140351,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.1,100,100,vldb,memo,,,3,7.05,705,0.357147,1.540538,247,477,247,0.6588397790055248,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.1,100,100,vldb,memo,,,4,1.0,100,0.002147,0.015333,1,84,1,0.9882352941176471,True,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/memo_100/vldb.log
baseline,0.1,100,100,vldb,none,,,0,10.52,1052,1.512364,3.762534,952,0,952,0.0,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.1,100,100,vldb,none,,,1,8.64,864,1.400738,3.220134,959,0,959,0.0,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.1,100,100,vldb,none,,,2,8.5,850,1.484042,3.184925,1026,0,1026,0.0,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.1,100,100,vldb,none,,,3,7.05,705,0.694903,1.83689,724,0,724,0.0,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.1,100,100,vldb,none,,,4,1.0,100,0.139802,0.15446,85,0,85,0.0,True,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/none_100/vldb.log
baseline,0.1,100,100,vldb,arc,,,0,10.52,1052,0.691292,3.000579,452,500,452,0.5252100840336135,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.1,100,100,vldb,arc,,,1,8.64,864,0.883069,2.746655,591,368,591,0.38373305526590196,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.1,100,100,vldb,arc,,,2,8.5,850,0.553771,2.316814,402,624,402,0.6081871345029239,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.1,100,100,vldb,arc,,,3,7.05,705,0.380123,1.568988,265,459,265,0.6339779005524862,False,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/arc_100/vldb.log
baseline,0.1,100,100,vldb,arc,,,4,1.0,100,0.002131,0.015467,1,84,1,0.9882352941176471,True,False,base/auth-baseline-cache/results/alpha0.1_walks_100_capa_100/vldb/arc_100/vldb.log
