project,alpha,walks,capacity,graph,policy,far_threshold,prefetch_depth,n_starts,avg_length,auth_time_mean,auth_time_sum,walk_time_mean,walk_time_sum,auth_calls_sum,hit_sum,miss_sum,hit_rate
baseline,0.01,100,100,vldb,arc,,,4,104.37,9.385196,37.540784,34.15876925,136.635077,26809,21900,26809,0.44960890184565483
baseline,0.01,100,100,vldb,lru,,,1,119.95,10.411243,10.411243,41.050393,41.050393,6765,5130,6765,0.4312736443883985
baseline,0.01,100,100,vldb,memo,,,3,105.08,45.499919999999996,136.49975999999998,151.81085633333333,455.432569,31561,22246,32120,0.4091895670087923
baseline,0.01,100,100,vldb,none,,,3,104.83666666666666,64.56381533333334,193.691446,166.41119766666665,499.233593,72414,16462,72760,0.18450606352693283
baseline,0.01,1000,100,amazon0601,arc,,,4,32.93,3.35356625,13.414265,29.56878275,118.275131,8706,6995,8706,0.4455130246481116
baseline,0.01,1000,100,amazon0601,lru,,,4,32.93,3.42104825,13.684193,29.79496825,119.179873,8794,6907,8794,0.43990828609642696
baseline,0.01,1000,100,amazon0601,memo,,,4,32.93,2.90183575,11.607343,29.223003,116.892012,7424,8277,7424,0.527163874912426
baseline,0.01,1000,100,amazon0601,none,,,4,32.93,6.08916975,24.356679,32.17464675,128.698587,15701,0,15701,0.0
baseline,0.01,1000,100,vldb,arc,,,4,104.37,9.37708975,37.508359,34.0971505,136.388602,26809,21900,26809,0.44960890184565483
baseline,0.01,1000,100,vldb,lru,,,4,104.37,9.380813,37.523252,34.0103415,136.041366,26782,21927,26782,0.450163214190396
baseline,0.01,1000,100,vldb,memo,,,4,104.37,7.9810402499999995,31.924160999999998,32.580670749999996,130.32268299999998,22757,25952,22757,0.5327968137305221
baseline,0.01,1000,100,vldb,none,,,4,104.37,17.242967,68.971868,41.045497749999996,164.18199099999998,48709,0,48709,0.0
baseline,0.1,100,100,amazon0601,arc,,,4,20.30875,1.9597126249999999,15.677700999999999,16.217559125,129.740473,10248,8803,10248,0.46207548160201567
baseline,0.1,100,100,amazon0601,lru,,,4,22.162857142857142,2.209705714285714,15.46794,18.161157714285714,127.128104,10108,8310,10108,0.45118905418612226
baseline,0.1,100,100,amazon0601,memo,,,4,20.30875,1.72739025,13.819122,16.00072925,128.005834,8825,10226,8825,0.5367697233741011
baseline,0.1,100,100,amazon0601,none,,,4,20.30875,3.691569125,29.532553,17.872071625,142.976573,19051,0,19051,0.0
baseline,0.1,100,100,karate,arc,,,5,9.909600000000001,1.3551828000000001,6.775914,24.1746296,120.873148,3936,50709,3936,0.9279714520999176
baseline,0.1,100,100,karate,lru,,,3,9.963333333333333,1.2612236666666667,3.783671,24.215839,72.647517,2166,31581,2166,0.9358165170237355
baseline,0.1,100,100,karate,memo,,,5,9.909600000000001,0.1442418,0.721209,23.037603999999998,115.18802,422,54223,422,0.9922774270290053
baseline,0.1,100,100,karate,none,,,5,9.909600000000001,17.5425954,87.712977,39.480602,197.40301,54645,0,54645,0.0
baseline,0.1,100,100,vldb,arc,,,4,8.6775,0.62706375,2.508255,2.408259,9.633036,1710,1951,1710,0.5329145042338159
baseline,0.1,100,100,vldb,lru,,,4,8.6775,0.64791975,2.591679,2.4180989999999998,9.672395999999999,1757,1904,1757,0.5200764818355641
baseline,0.1,100,100,vldb,memo,,,4,8.6775,0.50042525,2.001701,2.26380925,9.055237,1356,2305,1356,0.6296093963397978
baseline,0.1,100,100,vldb,none,,,4,8.6775,1.27301175,5.092047,3.00112075,12.004483,3661,0,3661,0.0
baseline,0.1,1000,100,amazon0601,arc,,,4,7.57675,5.43721675,21.748867,28.4019445,113.607778,13954,18832,13954,0.5743915085707314
baseline,0.1,1000,100,amazon0601,lru,,,4,7.57675,5.42320325,21.692813,27.84643575,111.385743,14587,18199,14587,0.5550844872811566
baseline,0.1,1000,100,amazon0601,memo,,,4,7.57675,3.10334675,12.413387,25.55728275,102.229131,8084,24702,8084,0.7534313426462514
baseline,0.1,1000,100,amazon0601,none,,,4,7.57675,12.240329,48.961316,34.411936749999995,137.64774699999998,32786,0,32786,0.0
baseline,0.1,1000,100,vldb,arc,,,4,9.64375,6.62795125,26.511805,25.8422915,103.369166,19079,22385,19079,0.5398659077754197
baseline,0.1,1000,100,vldb,lru,,,4,9.64375,7.1188565,28.475426,26.186130499999997,104.74452199999999,20575,20889,20575,0.5037864171329346
baseline,0.1,1000,100,vldb,memo,,,4,9.64375,3.15626975,12.625079,22.3396635,89.358654,9214,32250,9214,0.7777831371792399
baseline,0.1,1000,100,vldb,none,,,4,9.64375,13.72778525,54.911141,32.4369095,129.747638,41464,0,41464,0.0
bfs-degree,0.01,100,100,amazon0601,bfs-lru,2.0,1.0,4,32.93,3.342797,13.371188,29.4185735,117.674294,8792,6909,8792,0.4400356665180562
bfs-degree,0.01,100,100,amazon0601,bfs-lru,2.0,2.0,2,30.560000000000002,2.846854,5.693708,28.517182,57.034364,3654,3005,3654,0.45126895930319866
bfs-degree,0.01,100,100,amazon0601,bfs-lru,,5.0,4,32.93,3.3749475,13.49979,29.512062999999998,118.04825199999999,8792,6909,8792,0.4400356665180562
bfs-degree,0.01,100,100,amazon0601,bfs-lru,,,4,32.93,3.3877275,13.55091,29.58760575,118.350423,8792,6909,8792,0.4400356665180562
bfs-degree,0.01,100,100,amazon0601,degree-lru,,,4,32.93,4.135508,16.542032,30.89844975,123.593799,10198,5503,10198,0.3504872301127317
bfs-degree,0.01,100,100,amazon0601,hybrid-lru,,,4,32.93,4.09153325,16.366133,30.12227725,120.489109,10505,5196,10505,0.33093433539265016
bfs-degree,0.01,100,100,amazon0601,lru,,,4,32.93,3.372986,13.491944,29.41091925,117.643677,8794,6907,8794,0.43990828609642696
bfs-degree,0.01,100,100,amazon0601,none,,,4,32.93,6.028832749999999,24.115330999999998,32.036780750000005,128.14712300000002,15701,0,15701,0.0
bfs-degree,0.01,100,100,karate,bfs-lru,,,5,97.47,2.226918,11.13459,28.92736,144.6368,6235,52891,6235,0.8945472381016811
