scenario,label,E[RTT_1]_ms,E[RTT_inf]_ms,rho,graph,policy,avg_hops_per_walk,miss_rate,walks_sum,walk_per_start_s,sim_time_per_start_s,total_per_start_s,walk_sum_s,sim_time_sum_s,total_sum_s,hops_sum,auth_calls_sum,rt_count_sum,n_valid,memo_diff_per_start_s,memo_ratio
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,amazon0601,none,25.54,1.0102,500,30.5984,171.2845,201.8830,152.992,856.423,1009.415,12772,15701,28473,5,+51.7627,1.3448
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,amazon0601,memo,25.54,0.4612,500,28.1551,121.9651,150.1202,140.775,609.826,750.601,12772,7424,20196,5,+0.0000,1.0000
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,amazon0601,lru,25.54,0.5471,500,28.5102,130.2249,158.7352,142.551,651.125,793.676,12772,8794,21566,5,+8.6149,1.0574
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,amazon0601,arc,25.54,0.5397,500,28.4459,129.7395,158.1854,142.230,648.697,790.927,12772,8706,21478,5,+8.0652,1.0537
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,vldb,none,103.37,1.1873,400,40.5276,809.4462,849.9739,162.110,3237.785,3399.895,41348,48709,90057,4,+241.0544,1.3959
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,vldb,memo,103.37,0.5532,400,32.6166,576.3029,608.9195,130.466,2305.212,2435.678,41348,22757,64105,4,+0.0000,1.0000
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,vldb,lru,103.37,0.6520,400,34.0095,612.4487,646.4581,136.038,2449.795,2585.833,41348,26782,68130,4,+37.5386,1.0616
A1,"A1: 国内深部 → A緩収束 (下から, ρ=0.92)",13.90,39.00,0.92,vldb,arc,103.37,0.6527,400,34.2125,612.6888,646.9012,136.850,2450.755,2587.605,41348,26809,68157,4,+37.9817,1.0624
A2,"A2: 国際スタート → A中速収束 (上から, ρ=0.80)",139.00,39.00,0.8,amazon0601,none,25.54,1.0102,500,30.5984,312.0649,342.6634,152.992,1560.325,1713.317,12772,15701,28473,5,+94.2706,1.3795
A2,"A2: 国際スタート → A中速収束 (上から, ρ=0.80)",139.00,39.00,0.8,amazon0601,memo,25.54,0.4612,500,28.1551,220.2377,248.3928,140.775,1101.189,1241.964,12772,7424,20196,5,+0.0000,1.0000
A2,"A2: 国際スタート → A中速収束 (上から, ρ=0.80)",139.00,39.00,0.8,amazon0601,lru,25.54,0.5471,500,28.5102,235.1984,263.7087,142.551,1175.992,1318.543,12772,8794,21566,5,+15.3159,1.0617
A2,"A2: 国際スタート → A中速収束 (上から, ρ=0.80)",139.00,39.00,0.8,amazon0601,arc,25.54,0.5397,500,28.4459,234.1421,262.5880,142.230,1170.710,1312.940,12772,8706,21478,5,+14.1952,1.0571
A2,"A2: 国際スタート → A中速収束 (上から, ρ=0.80)",139.00,39.00,0.8,vldb,none,103.37,1.1873,400,40.5276,987.4205,1027.9481,162.110,3949.682,4111.792,41348,48709,90057,4,+292.6461,1.3980
