pattern_key,pattern_label,expected_rtt_ms,graph,policy,walk_per_start_s,sim_time_per_start_s,total_per_start_s,walk_sum_s,sim_time_sum_s,total_sum_s,hops_sum,auth_calls_sum,rt_count_sum,n_valid,memo_diff_per_start_s,memo_ratio,mc_std_per_start_s
A,A: ローカル支配 (近70/中20/遠10),39.00,amazon0601,none,30.5984,222.0894,252.6878,152.992,1110.447,1263.439,12772,15701,28473,5,+67.0039,1.3608,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,amazon0601,memo,28.1551,157.5288,185.6839,140.775,787.644,928.419,12772,7424,20196,5,+0.0000,1.0000,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,amazon0601,lru,28.5102,168.2148,196.7250,142.551,841.074,983.625,12772,8794,21566,5,+11.0411,1.0595,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,amazon0601,arc,28.4459,167.5284,195.9743,142.230,837.642,979.872,12772,8706,21478,5,+10.2904,1.0554,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,vldb,none,40.5276,878.0557,918.5834,162.110,3512.223,3674.333,41348,48709,90057,4,+260.9430,1.3968,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,vldb,memo,32.6166,625.0237,657.6403,130.466,2500.095,2630.561,41348,22757,64105,4,+0.0000,1.0000,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,vldb,lru,34.0095,664.2675,698.2770,136.038,2657.070,2793.108,41348,26782,68130,4,+40.6366,1.0618,0.0000
A,A: ローカル支配 (近70/中20/遠10),39.00,vldb,arc,34.2125,664.5308,698.7432,136.850,2658.123,2794.973,41348,26809,68157,4,+41.1029,1.0625,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,amazon0601,none,30.5984,415.7058,446.3042,152.992,2078.529,2231.521,12772,15701,28473,5,+123.2875,1.3817,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,amazon0601,memo,28.1551,294.8616,323.0167,140.775,1474.308,1615.083,12772,7424,20196,5,+0.0000,1.0000,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,amazon0601,lru,28.5102,314.8636,343.3738,142.551,1574.318,1716.869,12772,8794,21566,5,+20.3571,1.0630,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,amazon0601,arc,28.4459,313.5788,342.0247,142.230,1567.894,1710.124,12772,8706,21478,5,+19.0080,1.0588,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,vldb,none,40.5276,1643.5402,1684.0679,162.110,6574.161,6736.271,41348,48709,90057,4,+481.5350,1.4004,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,vldb,memo,32.6166,1169.9162,1202.5328,130.466,4679.665,4810.131,41348,22757,64105,4,+0.0000,1.0000,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,vldb,lru,34.0095,1243.3725,1277.3820,136.038,4973.490,5109.528,41348,26782,68130,4,+74.8491,1.0622,0.0000
B,B: 域内バランス (近30/中50/遠20),73.00,vldb,arc,34.2125,1243.8652,1278.0777,136.850,4975.461,5112.311,41348,26809,68157,4,+75.5449,1.0628,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,amazon0601,none,30.5984,791.5494,822.1478,152.992,3957.747,4110.739,12772,15701,28473,5,+232.5439,1.3944,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,amazon0601,memo,28.1551,561.4488,589.6039,140.775,2807.244,2948.019,12772,7424,20196,5,+0.0000,1.0000,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,amazon0601,lru,28.5102,599.5348,628.0450,142.551,2997.674,3140.225,12772,8794,21566,5,+38.4411,1.0652,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,amazon0601,arc,28.4459,597.0884,625.5343,142.230,2985.442,3127.672,12772,8706,21478,5,+35.9304,1.0609,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,vldb,none,40.5276,3129.4808,3170.0084,162.110,12517.923,12680.033,41348,48709,90057,4,+909.7430,1.4025,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,vldb,memo,32.6166,2227.6488,2260.2653,130.466,8910.595,9041.061,41348,22757,64105,4,+0.0000,1.0000,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,vldb,lru,34.0095,2367.5175,2401.5270,136.038,9470.070,9606.108,41348,26782,68130,4,+141.2616,1.0625,0.0000
C,C: グローバル分散 (近10/中30/遠60),139.00,vldb,arc,34.2125,2368.4558,2402.6682,136.850,9473.823,9610.673,41348,26809,68157,4,+142.4029,1.0630,0.0000
